id,titre,objet,date_creat,date_publi,adr1,adr2,adr3,adrs_codepostal,libcom,siteweb
751P00000077,ASSOCIATION SPORTIVE SCOLAIRE DU COLLEGE ARAGO,plus d'activité,1944-02-02,0001-01-01,,4         PL  de la Nation,,75012,PARIS,
751P00000168,ASSOCIATION SPORTIVE ET CULTURELLE DU COURS MOLIERE,plus d'activité,1965-04-06,0001-01-01,,2         BD  Soult,,75012,PARIS,
751P00000186,UNION PROFESSIONNELLE DES COMMIS AMBULANTS ET DES BUREAUX GARES DES POSTES,plus d'activité,1922-07-07,0001-01-01,,28        RUE Montgallet,,75012,PARIS,
751P00000202,ASSOCIATION GENERALE PROFESSIONNELLE DU PERSONNEL AUXILIAIRE DESSERVICES DES PENSIONS,plus d'activité,1926-04-01,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
751P00000256,ASSOCIATION CATHOLIQUE DES CHEFS DE FAMILLE DE SAINT ANTOINE DES QUINZE VINGTS,plus d'activité,1923-05-03,0001-01-01,,5         RUE Emilio castelar,,75012,PARIS,
751P00000313,ASSOCIATION D'ACHATS EN COMMUN DU PERSONNEL DU MINISTERE DES PENSIONS,plus d'activité,1923-10-29,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
751P00000319,ASSOCIATION PROFESSIONNELLE DES INSPECTEURS DE COMMISSARIAT DE POLICE DE LA VILLE DE PARIS DES INSPECTEURS DES COMMUNES DE LA SEINE DES SERVICES SPECIAUX ET ASSIMILES,plus d'activité,1913-12-24,0001-01-01,,          RUE du Rendez vous,,75012,PARIS,
751P00000356,UNION FRATERNELLE ET CAISSE DE RETRAITE DES EMPLOYES DES EGLISES CATHOLIQUES DU DEPARTEMENT DE LA SEINE,plus d'activité,1922-05-08,0001-01-01,,5         RUE Emilio castelar,,75012,PARIS,
751P00000390,AMICALE DU 2EME BUREAU DU MINISTERE DES PENSIONS,de resserer les liens de fraternité et de solidarité entre ses adhérents aide morale et matérielle,0001-01-01,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
751P00000404,UNION DES FONCTIONNAIRES NON RETRAITES PROPORTIONNELS,plus d'activité,1924-06-14,0001-01-01,,10 B      RUE Montgallet,,75012,PARIS,
751P00000410,UNION CATHOLIQUE NIVERNAISE,plus d'activité,1911-04-26,0001-01-01,,59        AV  Daumesnil,,75012,PARIS,
751P00000428,CLUB ATHLETIQUE OUVRIER DU 12 EME ARRDT,plus d'activité,1948-11-22,0001-01-01,,86        BD  Diderot,,75012,PARIS,
751P00000442,GROUPEMENT CORPORATIF AUTONOME DES OUVRIERS TECHNIQUES DE LA VILLE DE PARIS,plus d'activité,1924-11-14,0001-01-01,,47        QUAId'Austerlitz,,75012,PARIS,
751P00000494,ASSOCIATION PROFESSIONNELLE DES FONCTIONNAIRES DE L'ADMINISTRATION CENTRALE DES PENSIONS,sauvegarde des intérêts professionnels de ses membres,0001-01-01,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
751P00000504,CONFEDERATION POPULAIRE DES SINISTRES,plus d'activité,1965-04-15,0001-01-01,,20        RUE Marsoulan,,75012,PARIS,
751P00000545,LIGUE REPUBLICAINE NATIONALE SECTION DU 16EME ARRONDISSEMENT GROUPE D'ACTION POLITIQUE ET SOCIALE,plus d'activité,1945-06-20,0001-01-01,,7         RUE de la Lancette,,75012,PARIS,
751P00000559,AMICALE DU 5EME BUREAU DU MINISTERE DES PENSIONS,plus d'activité,1925-03-19,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
751P00000662,ASSOCIATION DES AGENTS DU CADRE LATERAL DU MINISTERE DES FINANCES,plus d'activité,1926-04-13,0001-01-01,,5         RUE Marsoulan,,75012,PARIS,
751P00000702,ASSOCIATION DES CHEFS ADJOINTS DES SERVICES TECHNIQUES DE LA VILLE DE PARIS,plus d'activité,1926-11-09,0001-01-01,,175       AV  Daumesnil,,75012,PARIS,
751P00000712,ACTUEL,plus d'activité,1965-04-29,0001-01-01,,5         AV  Courteline,,75012,PARIS,
751P00000739,ASSOCIATION DES MILITAIRES DE RESERVE DE L'ARTILLERIE DE FRANCEAMRAF,regrouper les militaires de réserve de l'artillerie de france participer au maintien des traditions et des savoir faire technique de l'artillerie dans ses differenes composantes contribuer au maintien,1926-11-19,1926-11-20,,12        RUE Marie laurencin,,75012,PARIS,
751P00000751,UNION DES SOCIETES SPORTIVES ET GYMNIQUES DU TRAVAIL,plus d'activité,1918-07-13,0001-01-01,,2         RUE Biscornet,,75012,PARIS,
751P00000770,ASSOCIATION GENERALE DES CHEFS D'ATELIER ET EMPLOYES VICTIMES DE LA GUERRE DES MANUFACTURES DE L'ETAT,de crrer et de maintenir des liens permanents de solidarité,0001-01-01,0001-01-01,,19        RUE Nicolai,,75012,PARIS,
751P00000791,COMITE INTERNATIONAL DES SPORTS SILENCIEUX,plus d'activité,1927-03-02,0001-01-01,,9         RUE Dugommier,,75012,PARIS,
